# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  15601.000000  15668.000000  2961.541775  0.494562  0.505438  99.489234  87.653162  0.018091  19520.000000  0.001056
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  ST_s-channel_4f_leptonDecays                        Bkg             1.062002        0.679695        0.271912        0.278937
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.241508        2.524696        0.399896        0.380724
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.784908        2.915448        0.386254        0.404157
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           264.408637      265.210093        5.571233        5.562453
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           267.050284      255.719464        5.470281        5.370606
  TTWJetsToLNu                                        Bkg            11.269326       11.297166        0.233227        0.230025
  TTWJetsToQQ                                         Bkg             9.627137        9.788801        0.940831        0.971059
  TTZToLLNuNu                                         Bkg             9.813925        9.761516        0.185312        0.186456
  TTZToQQ                                             Bkg            13.257295       13.509816        0.117830        0.118178
  TTbar_AllHadronic                                   Bkg             0.453288        0.593175        0.185158        0.218204
  TTbar_SemiLeptonic                                  Bkg           190.635792      187.417216        3.203818        3.167668
  TTbar_Signal                                        Signal      15718.038366    15727.535243       26.810742       26.823315
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg             7.167813        5.834202        1.081676        0.978154
  WZ                                                  Bkg             2.403333        2.415145        0.551742        0.548531
  ZZ                                                  Bkg             5.774063        4.348558        1.193843        1.077858

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  15674.000000  15595.000000  2961.541775  0.483991  0.516009  89.172743  98.129540  0.018091  19520.000000  0.000184
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           150.419144      351.075741       67.602228       78.987697
  DYJetsToLL_M_50                                     Bkg           491.980696      408.101895       57.495043       57.594610
  Data                                                Data        15674.000000    15595.000000      125.195847      124.879942
  ST_s-channel_4f_leptonDecays                        Bkg             1.017706        0.723991        0.278350        0.272513
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.122694        2.643510        0.402151        0.378342
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.905687        2.794669        0.392327        0.398265
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           264.917064      264.701666        5.568288        5.565401
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           272.406099      250.363649        5.535400        5.303463
  TTWJetsToLNu                                        Bkg            11.248034       11.318458        0.231530        0.231732
  TTWJetsToQQ                                         Bkg             9.265779       10.150158        0.952316        0.959799
  TTZToLLNuNu                                         Bkg            10.063532        9.511909        0.185885        0.185885
  TTZToQQ                                             Bkg            13.442673       13.324439        0.117974        0.118034
  TTbar_AllHadronic                                   Bkg             0.426887        0.619576        0.176020        0.225641
  TTbar_SemiLeptonic                                  Bkg           187.898367      190.154641        3.172587        3.198947
  TTbar_Signal                                        Signal      15725.686484    15719.887126       26.820537       26.813522
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg             7.339306        5.662708        1.091991        0.966626
  WZ                                                  Bkg             2.094642        2.723835        0.502100        0.594307
  ZZ                                                  Bkg             5.810879        4.311742        1.203074        1.067545

