# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  266807.000000  267365.000000  28512.888837  0.493344  0.506656  322.101227  130.527139  0.042958  137642.451518  0.000034
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  Data                                                Data       267402.000000   266770.000000      517.109273      516.497822
  ST_s-channel_4f_leptonDecays                        Bkg            18.116247       16.472432        1.070895        1.063631
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            43.832062       41.783939        1.572359        1.539154
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            50.981394       51.621122        1.596682        1.626620
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          4663.100963     4692.981216       21.023645       21.099826
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          4686.480096     4666.275154       21.069070       20.999501
  TTWJetsToLNu                                        Bkg           192.438452      192.082221        0.857765        0.857892
  TTWJetsToQQ                                         Bkg           147.229715      149.672267        3.432122        3.459611
  TTZToLLNuNu                                         Bkg           141.005662      140.481658        0.651100        0.650994
  TTZToQQ                                             Bkg           208.585661      207.440233        0.526412        0.526720
  TTbar_AllHadronic                                   Bkg             5.334096        4.963715        0.599636        0.591717
  TTbar_SemiLeptonic                                  Bkg          3089.604161     3103.313590       11.777931       11.801567
  TTbar_Signal                                        Signal     263213.048563   263310.850659       96.225878       96.362832
  WJetsToLNu                                          Bkg           -98.831841       92.781372      164.054521      283.896693
  WW                                                  Bkg           139.034642      149.050316        7.023426        7.249822
  WZ                                                  Bkg            22.934826       22.404992        2.618930        2.567421
  ZZ                                                  Bkg            16.771232       12.195939        2.086297        1.803282

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  267530.000000  266642.000000  28512.931304  0.513663  0.486337  176.774467  299.227880  0.042958  137642.451518  -0.000156
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           -10.275409        0.000000       10.275409        0.000000
  DYJetsToLL_M_50                                     Bkg           908.153925      744.915251       75.103797       72.914236
  Data                                                Data       267530.000000   266642.000000      517.233023      516.373896
  ST_s-channel_4f_leptonDecays                        Bkg            18.326404       16.262276        1.068758        1.065779
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            42.453306       43.162696        1.543467        1.568126
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            50.081321       52.521195        1.582830        1.640103
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          4692.211136     4663.871043       21.101813       21.021651
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          4675.725512     4677.029738       21.026359       21.042266
  TTWJetsToLNu                                        Bkg           192.454282      192.066391        0.858686        0.856971
  TTWJetsToQQ                                         Bkg           148.742540      148.159442        3.450514        3.441267
  TTZToLLNuNu                                         Bkg           141.004263      140.483057        0.651261        0.650833
  TTZToQQ                                             Bkg           208.597218      207.428676        0.526637        0.526494
  TTbar_AllHadronic                                   Bkg             5.464503        4.833308        0.615946        0.574720
  TTbar_SemiLeptonic                                  Bkg          3097.681563     3095.236188       11.792639       11.786870
  TTbar_Signal                                        Signal     263220.865225   263303.033997       96.226460       96.362250
  WJetsToLNu                                          Bkg           292.824302     -298.874771      156.185734      288.300598
  WW                                                  Bkg           139.986984      148.097974        7.103574        7.171309
  WZ                                                  Bkg            26.187019       19.152799        2.834199        2.327609
  ZZ                                                  Bkg            16.432007       12.535164        2.087113        1.802337

# ===== O6 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O6  266900.000000  267272.000000  28512.931304  0.499414  0.500586  183.550748  295.119737  0.042958  137642.451518  0.000180
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg             0.000000      -10.275409        0.000000       10.275409
  DYJetsToLL_M_50                                     Bkg           914.772529      738.296647       75.320867       72.689979
  Data                                                Data       266900.000000   267272.000000      516.623654      516.983559
  ST_s-channel_4f_leptonDecays                        Bkg            17.778248       16.810432        1.075493        1.058982
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            44.754277       40.861724        1.575953        1.535474
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            50.160110       52.442405        1.592281        1.630929
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          4675.952710     4680.129469       21.044288       21.079237
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          4679.024716     4673.730534       21.045457       21.023165
  TTWJetsToLNu                                        Bkg           191.867088      192.653586        0.857808        0.857850
  TTWJetsToQQ                                         Bkg           144.122436      152.779546        3.411579        3.479869
  TTZToLLNuNu                                         Bkg           141.480865      140.006455        0.651699        0.650394
  TTZToQQ                                             Bkg           208.105822      207.920072        0.526486        0.526646
  TTbar_AllHadronic                                   Bkg             5.181854        5.115957        0.596234        0.595145
  TTbar_SemiLeptonic                                  Bkg          3087.191787     3105.725965       11.766838       11.812627
  TTbar_Signal                                        Signal     263309.249336   263214.649886       96.365868       96.222837
  WJetsToLNu                                          Bkg           -98.831841       92.781372      164.054521      283.896693
  WW                                                  Bkg           143.020595      145.064362        7.082233        7.192386
  WZ                                                  Bkg            20.508166       24.831652        2.437357        2.740390
  ZZ                                                  Bkg            14.669322       14.297848        1.954452        1.945399

# ===== O7 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O7  266939.000000  267233.000000  28512.888837  0.504948  0.495052  219.140189  269.748239  0.042958  137642.451518  0.000150
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           -10.275409        0.000000       10.275409        0.000000
  DYJetsToLL_M_50                                     Bkg           929.225939      723.843237       75.033080       72.987006
  Data                                                Data       266939.000000   267233.000000      516.661398      516.945839
  ST_s-channel_4f_leptonDecays                        Bkg            17.812309       16.776371        1.065276        1.069259
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg            42.349635       43.266366        1.549956        1.561712
  ST_t-channel_top_4f_InclusiveDecays                 Bkg            49.767347       52.835169        1.586637        1.636420
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          4679.527628     4676.554552       21.061826       21.061715
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          4677.237169     4675.518081       21.037663       21.030965
