# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  26760.000000  26803.000000  4727.985382  0.498797  0.501203  141.796601  137.496970  0.009809  59832.422397  0.000198
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  ST_s-channel_4f_leptonDecays                        Bkg             0.899076        0.682405        0.256959        0.211150
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.797655        2.501173        0.397662        0.360043
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.532357        2.263990        0.359952        0.325901
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           458.244099      468.122782        6.557611        6.627691
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           456.170685      462.113365        6.452713        6.492169
  TTWJetsToLNu                                        Bkg            19.055100       19.549569        0.261328        0.261280
  TTWJetsToQQ                                         Bkg            15.586252       15.700295        1.108862        1.099415
  TTZToLLNuNu                                         Bkg            17.328640       17.387552        0.222360        0.222471
  TTZToQQ                                             Bkg            22.472216       22.168785        0.177331        0.176585
  TTbar_AllHadronic                                   Bkg             0.177407        0.061188        0.102488        0.061188
  TTbar_SemiLeptonic                                  Bkg           136.854771      136.786302        2.377282        2.372651
  TTbar_Signal                                        Signal      26151.941096    26109.045912       29.372956       29.345168
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            12.374552       14.200953        2.330773        2.559153
  WZ                                                  Bkg             5.711929        4.426658        1.452427        1.249371
  ZZ                                                  Bkg            10.903710       12.261393        1.656236        1.837506

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  27029.000000  26534.000000  4727.985382  0.512421  0.487579  140.753600  138.564487  0.009809  59832.422397  0.000664
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           268.345820      169.409376      107.852244      105.229601
  DYJetsToLL_M_50                                     Bkg           987.364614      963.530714       89.869027       89.569658
  Data                                                Data        27029.000000    26534.000000      164.404988      162.892603
  ST_s-channel_4f_leptonDecays                        Bkg             1.035185        0.546296        0.261704        0.205239
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             3.044323        2.254505        0.392304        0.365874
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.755633        2.040714        0.355102        0.331178
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           460.620858      465.746023        6.577047        6.608404
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           460.816276      457.467774        6.482569        6.462357
  TTWJetsToLNu                                        Bkg            19.218467       19.386202        0.261726        0.260881
  TTWJetsToQQ                                         Bkg            16.307627       14.978919        1.107632        1.100654
  TTZToLLNuNu                                         Bkg            17.669448       17.046744        0.223045        0.221784
  TTZToQQ                                             Bkg            22.439457       22.201545        0.177441        0.176474
  TTbar_AllHadronic                                   Bkg             0.000000        0.238596        0.000000        0.119364
  TTbar_SemiLeptonic                                  Bkg           134.993915      138.647158        2.357354        2.392452
  TTbar_Signal                                        Signal      26147.850734    26113.136275       29.372072       29.346052
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            12.942019       13.633486        2.449807        2.445447
  WZ                                                  Bkg             5.140144        4.998443        1.346451        1.362917
  ZZ                                                  Bkg            10.025236       13.139867        1.627671        1.862856

# ===== O6 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O6  26911.000000  26652.000000  4727.985382  0.445461  0.554539  128.278101  150.187955  0.009809  59832.422397  0.000402
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           141.201776      296.553420       93.341175      118.291168
  DYJetsToLL_M_50                                     Bkg           786.327460     1164.567869       87.397603       91.982742
  Data                                                Data        26911.000000    26652.000000      164.045725      163.254403
  ST_s-channel_4f_leptonDecays                        Bkg             0.559579        1.021901        0.238852        0.231433
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.991434        2.307394        0.408551        0.347639
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.707761        2.088586        0.369808        0.314673
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           466.359524      460.007357        6.616246        6.569159
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           463.203729      455.080321        6.501974        6.442832
  TTWJetsToLNu                                        Bkg            19.388257       19.216412        0.261755        0.260852
  TTWJetsToQQ                                         Bkg            15.519570       15.766976        1.108239        1.100043
  TTZToLLNuNu                                         Bkg            17.199248       17.516944        0.222105        0.222725
  TTZToQQ                                             Bkg            22.414251       22.226750        0.177079        0.176837
  TTbar_AllHadronic                                   Bkg             0.238596        0.000000        0.119364        0.000000
  TTbar_SemiLeptonic                                  Bkg           137.522253      136.118820        2.380891        2.369030
  TTbar_Signal                                        Signal      26140.999341    26119.987667       29.369175       29.348952
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            11.796371       14.779134        2.312115        2.576022
  WZ                                                  Bkg             5.497023        4.641564        1.446886        1.255784
  ZZ                                                  Bkg            13.205613        9.959490        1.855912        1.635584

# ===== O7 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O7  26868.000000  26695.000000  4727.985382  0.485361  0.514639  134.676308  144.478320  0.009809  59832.422397  0.000300
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           160.934260      276.820936       98.861735      113.717777
  DYJetsToLL_M_50                                     Bkg           966.756732      984.138596       90.894100       88.529251
  Data                                                Data        26868.000000    26695.000000      163.914612      163.386046
  ST_s-channel_4f_leptonDecays                        Bkg             1.002014        0.579466        0.269399        0.195029
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             2.571686        2.727142        0.380500        0.378134
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             2.327817        2.468530        0.344418        0.342276
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           458.267053      468.099828        6.557993        6.627314
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           466.811903      451.472147        6.523384        6.421154
  TTWJetsToLNu                                        Bkg            19.315227       19.289441        0.261144        0.261465
  TTWJetsToQQ                                         Bkg            14.975102       16.311444        1.110285        1.097977
  TTZToLLNuNu                                         Bkg            17.155334       17.560858        0.222225        0.222606
  TTZToQQ                                             Bkg            22.159753       22.481248        0.177066        0.176850
  TTbar_AllHadronic                                   Bkg             0.119286        0.119309        0.084376        0.084430
  TTbar_SemiLeptonic                                  Bkg           134.498918      139.142155        2.358997        2.390833
  TTbar_Signal                                        Signal      26138.310279    26122.639951       29.365874       29.352232
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  WW                                                  Bkg            10.508185       16.067320        2.127219        2.730697
  WZ                                                  Bkg             4.555510        5.583077        1.289853        1.416598
  ZZ                                                  Bkg            12.819580       10.345524        1.813201        1.682809

# ===== O8 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O8  26812.000000  26751.000000  4727.985382  0.511772  0.488228  144.631758  134.511515  0.009809  59832.422397  0.000935
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           193.236368      244.518827      111.906332      100.907622
  DYJetsToLL_M_50                                     Bkg          1061.178881      889.716448       91.060131       88.358465
