# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  51596.000000  51478.000000  6829.172974  0.487749  0.512251  115.665844  136.687076  0.068012  16812.151722  -0.000092
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  ST_s-channel_4f_leptonDecays                        Bkg             2.881935        3.488246        0.458579        0.484536
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             5.365565        6.804435        0.564070        0.613036
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             9.151044        9.109156        0.654473        0.681898
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           833.177896      851.830924        8.454549        8.624238
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           853.315431      844.782436        9.419946        9.308060
  TTWJetsToLNu                                        Bkg            37.432782       37.356492        0.388071        0.386614
  TTWJetsToQQ                                         Bkg            32.203853       33.425010        1.589247        1.656316
  TTZToLLNuNu                                         Bkg            29.564087       29.314697        0.314989        0.313523
  TTZToQQ                                             Bkg            43.381661       43.347804        0.249912        0.249978
  TTbar_AllHadronic                                   Bkg             0.941791        1.210290        0.258847        0.315009
  TTbar_SemiLeptonic                                  Bkg           541.319321      544.280285        5.207825        5.242601
  TTbar_Signal                                        Signal      50928.502911    50892.348235       43.790260       43.769736
  WJetsToLNu                                          Bkg           -45.777195       87.812985       45.777195       62.239013
  WW                                                  Bkg            19.161291       20.317637        1.552805        1.610167
  WZ                                                  Bkg             4.558067        5.223968        0.707634        0.742077
  ZZ                                                  Bkg             8.628632        8.417451        1.617295        1.509135

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  51717.000000  51357.000000  6829.172974  0.497321  0.502679  130.277237  122.840489  0.068012  16812.151722  -0.000235
# --- per-sample breakdown ---
