# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  7523.000000  7387.000000  1138.995350  0.497861  0.502139  58.018544  55.054988  0.009047  19520.000000  -0.000572
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           129.128608      130.179182        3.835241        3.831938
  TTWJetsToLNu                                        Bkg             5.659987        5.565043        0.165921        0.165343
  TTWJetsToQQ                                         Bkg             4.721976        4.620621        0.684296        0.679903
  TTZToLLNuNu                                         Bkg             4.759285        4.974664        0.131018        0.133528
  TTZToQQ                                             Bkg             6.798807        6.764339        0.083733        0.083205
  TTbar_AllHadronic                                   Bkg             0.000000        0.064831        0.000000        0.064831
  TTbar_SemiLeptonic                                  Bkg            41.320457       40.898578        1.509971        1.488034
  TTbar_Signal                                        Signal       7865.915052     7859.791997       18.999250       18.991828
  WJetsToLNu                                          Bkg             0.000000        0.000000        0.000000        0.000000
  ZZ                                                  Bkg             3.110229        3.544664        0.887009        0.959699

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  7508.000000  7402.000000  1138.995350  0.521949  0.478051  54.897325  58.167747  0.009047  19520.000000  0.000265
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg            20.520802       18.335865       40.424359       44.516107
  DYJetsToLL_M_50                                     Bkg           240.638268      200.337678       36.673806       36.992830
  Data                                                Data         7508.000000     7402.000000       86.648716       86.034877
  ST_s-channel_4f_leptonDecays                        Bkg             0.005916        0.250743        0.110509        0.156838
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             0.307157        0.565484        0.170294        0.174979
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             0.745516        0.720235        0.189846        0.221313
