# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  56479.000000  56430.000000  7787.629949  0.486455  0.513545  118.206549  146.773308  0.067447  19520.000000  0.000619
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  ST_s-channel_4f_leptonDecays                        Bkg             3.255073        3.340601        0.475386        0.507452
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             6.693919        6.131939        0.653994        0.609541
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             9.863262        9.634257        0.720935        0.732313
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          1007.843874      994.570592       10.886561       10.812307
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           998.802853      985.982019       10.621542       10.556690
  TTWJetsToLNu                                        Bkg            42.697752       42.626259        0.451779        0.451127
  TTWJetsToQQ                                         Bkg            33.943051       35.548887        1.823145        1.804491
  TTZToLLNuNu                                         Bkg            33.456750       33.065748        0.341010        0.343773
  TTZToQQ                                             Bkg            48.290204       48.237749        0.223641        0.223502
  TTbar_AllHadronic                                   Bkg             1.061902        0.872155        0.284411        0.259781
  TTbar_SemiLeptonic                                  Bkg           578.400549      575.895001        5.591763        5.575321
  TTbar_Signal                                        Signal      58601.704830    58636.274121       51.826375       51.839225
  WJetsToLNu                                          Bkg            55.536496       84.026335       55.536496       84.026335
  WW                                                  Bkg            22.105075       22.919121        1.881863        1.904191
  WZ                                                  Bkg             5.477911        4.601777        0.838231        0.757854
  ZZ                                                  Bkg            11.956282        8.772952        1.750242        1.511074

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  56483.000000  56426.000000  7787.629949  0.497463  0.502537  121.508652  144.051517  0.067447  19520.000000  -0.000257
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           170.939946      369.411606       78.766681       90.668296
  DYJetsToLL_M_50                                     Bkg           834.906823      696.761228       72.109735       72.111612
  Data                                                Data        56483.000000    56426.000000      237.661524      237.541575
  ST_s-channel_4f_leptonDecays                        Bkg             3.440234        3.155441        0.482029        0.501146
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             6.549148        6.276711        0.665417        0.597050
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             9.668913        9.828605        0.718795        0.734414
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          1010.069750      992.344716       10.896416       10.802374
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg          1005.232101      979.552771       10.648943       10.529049
  TTWJetsToLNu                                        Bkg            42.493951       42.830060        0.450816        0.452090
  TTWJetsToQQ                                         Bkg            33.281962       36.209976        1.827151        1.800435
  TTZToLLNuNu                                         Bkg            33.323993       33.198506        0.341396        0.343390
  TTZToQQ                                             Bkg            48.581306       47.946647        0.223696        0.223447
  TTbar_AllHadronic                                   Bkg             0.735656        1.198400        0.234183        0.305833
  TTbar_SemiLeptonic                                  Bkg           578.376198      575.919352        5.592112        5.574970
  TTbar_Signal                                        Signal      58603.901712    58634.077239       51.827726       51.837874
  WJetsToLNu                                          Bkg            55.536496       84.026335       55.536496       84.026335
  WW                                                  Bkg            22.507133       22.517063        1.898303        1.887802
  WZ                                                  Bkg             5.247134        4.832554        0.805985        0.792062
  ZZ                                                  Bkg            13.165790        7.563444        1.853254        1.382802

# ===== O6 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O6  56290.000000  56619.000000  7787.629949  0.502881  0.497119  120.454147  144.934436  0.067447  19520.000000  0.000571
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           293.450977      246.900575       78.030279       91.302823
  DYJetsToLL_M_50                                     Bkg           788.473420      743.194631       71.160488       73.048501
  Data                                                Data        56290.000000    56619.000000      237.255137      237.947473
  ST_s-channel_4f_leptonDecays                        Bkg             3.253467        3.342208        0.488035        0.495299
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             6.683362        6.142497        0.648645        0.615231
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             9.581574        9.915944        0.712043        0.740962
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           994.115907     1008.298559       10.811609       10.887254
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           987.350166      997.434706       10.563843       10.614428
  TTWJetsToLNu                                        Bkg            42.983529       42.340482        0.452369        0.450536
  TTWJetsToQQ                                         Bkg            33.132442       36.359495        1.820071        1.807592
  TTZToLLNuNu                                         Bkg            33.274771       33.247728        0.341637        0.343150
  TTZToQQ                                             Bkg            48.246467       48.281486        0.223663        0.223480
  TTbar_AllHadronic                                   Bkg             0.977184        0.956873        0.271724        0.273023
  TTbar_SemiLeptonic                                  Bkg           578.645514      575.650035        5.588718        5.578373
  TTbar_Signal                                        Signal      58652.485959    58585.492992       51.850074       51.815521
  WJetsToLNu                                          Bkg            55.536496       84.026335       55.536496       84.026335
  WW                                                  Bkg            21.890604       23.133592        1.862788        1.922855
  WZ                                                  Bkg             6.047620        4.032068        0.902881        0.679543
  ZZ                                                  Bkg            12.606687        8.122547        1.852355        1.384006

# ===== O7 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O7  56382.000000  56527.000000  7787.629949  0.506643  0.493357  147.870355  116.831290  0.067447  19520.000000  -0.000457
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           286.226718      254.124834       79.490605       90.034292
  DYJetsToLL_M_50                                     Bkg           753.998818      777.669232       71.636247       72.581999
  Data                                                Data        56382.000000    56527.000000      237.448942      237.754075
  ST_s-channel_4f_leptonDecays                        Bkg             3.801192        2.794482        0.489335        0.494015
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             7.097416        5.728443        0.667764        0.594424
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             9.578234        9.919285        0.733682        0.719542
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           997.805098     1004.609369       10.832208       10.866759
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           978.528010     1006.256863       10.505671       10.672007
  TTWJetsToLNu                                        Bkg            42.791135       42.532876        0.452805        0.450098
  TTWJetsToQQ                                         Bkg            34.077481       35.414457        1.805452        1.822193
  TTZToLLNuNu                                         Bkg            32.953717       33.568781        0.341663        0.343123
  TTZToQQ                                             Bkg            48.143825       48.384128        0.223211        0.223931
  TTbar_AllHadronic                                   Bkg             0.962847        0.971209        0.267652        0.277016
  TTbar_SemiLeptonic                                  Bkg           572.748588      581.546961        5.560855        5.606149
  TTbar_Signal                                        Signal      58592.204032    58645.774920       51.821679       51.843919
  WJetsToLNu                                          Bkg           139.562831        0.000000      100.721037        0.000000
  WW                                                  Bkg            23.676487       21.347709        1.942257        1.842550
  WZ                                                  Bkg             3.915243        6.164445        0.696657        0.889743
  ZZ                                                  Bkg             9.683168       11.046066        1.610359        1.659347

# ===== O8 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O8  56413.000000  56496.000000  7787.629949  0.509539  0.490461  151.201146  112.487357  0.067447  19520.000000  0.000273
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           294.294945      246.056607       84.908047       84.944415
  DYJetsToLL_M_50                                     Bkg           751.831324      779.836727       72.356902       71.863602
  Data                                                Data        56413.000000    56496.000000      237.514210      237.688872
  ST_s-channel_4f_leptonDecays                        Bkg             2.711022        3.884652        0.479466        0.503599
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             6.882163        5.943696        0.636701        0.627584
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             9.281057       10.216462        0.717104        0.736066
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg          1004.152661      998.261805       10.869487       10.829471
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           979.272116     1005.512756       10.515558       10.662265
  TTWJetsToLNu                                        Bkg            43.527932       41.796079        0.452433        0.450472
  TTWJetsToQQ                                         Bkg            36.641123       32.850814        1.817336        1.810341
  TTZToLLNuNu                                         Bkg            33.322819       33.199679        0.342225        0.342563
  TTZToQQ                                             Bkg            48.220692       48.307261        0.223673        0.223470
  TTbar_AllHadronic                                   Bkg             0.738990        1.195067        0.235823        0.304570
  TTbar_SemiLeptonic                                  Bkg           578.969286      575.326264        5.596142        5.570925
  TTbar_Signal                                        Signal      58635.019970    58602.958981       51.846913       51.818684
  WJetsToLNu                                          Bkg           139.562831        0.000000      100.721037        0.000000
  WW                                                  Bkg            23.844541       21.179655        1.947838        1.836649
