# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  14294.000000  13917.000000  2425.235802  0.501855  0.498145  86.325846  107.244776  0.018112  16812.151722  -0.000889
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  ST_s-channel_4f_leptonDecays                        Bkg             1.069524        1.099677        0.294889        0.269856
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             1.805674        2.169731        0.361333        0.377394
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             3.326620        2.888258        0.401959        0.402972
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           224.417517      219.679897        4.402335        4.359543
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           220.152771      225.378715        4.778727        4.810280
  TTWJetsToLNu                                        Bkg            10.173688        9.833559        0.200241        0.200142
  TTWJetsToQQ                                         Bkg             8.327889        8.242774        0.861001        0.833412
  TTZToLLNuNu                                         Bkg             8.697822        8.542589        0.172169        0.170378
  TTZToQQ                                             Bkg            11.897456       11.851671        0.131903        0.131833
  TTbar_AllHadronic                                   Bkg             0.565465        0.545538        0.203405        0.218966
  TTbar_SemiLeptonic                                  Bkg           179.174027      184.885030        2.975272        3.072312
  TTbar_Signal                                        Signal      13569.720633    13545.938770       22.661223       22.648535
  WJetsToLNu                                          Bkg           -45.777195        0.000000       45.777195        0.000000
  WW                                                  Bkg             5.261798        4.779233        0.802332        0.788488
  WZ                                                  Bkg             1.741205        2.389638        0.438272        0.505666
  ZZ                                                  Bkg             3.430653        5.879036        1.064322        1.326105

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  14046.000000  14165.000000  2425.235802  0.532097  0.467903  102.196634  92.246635  0.018112  16812.151722  -0.000212
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           126.056234      128.853323       78.184054       48.115328
  DYJetsToLL_M_50                                     Bkg           474.441704      373.454284       65.392069       63.595407
  Data                                                Data        14046.000000    14165.000000      118.515822      119.016806
  ST_s-channel_4f_leptonDecays                        Bkg             0.910347        1.258854        0.261675        0.302171
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             1.929686        2.045720        0.351307        0.386745
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             3.066368        3.148509        0.369969        0.432528
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           224.710818      219.386595        4.402064        4.359817
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           225.064329      220.467157        4.824222        4.764651
  TTWJetsToLNu                                        Bkg            10.073924        9.933322        0.198988        0.201389
  TTWJetsToQQ                                         Bkg             8.949840        7.620822        0.851197        0.843424
  TTZToLLNuNu                                         Bkg             8.679305        8.561106        0.170648        0.171902
  TTZToQQ                                             Bkg            11.926962       11.822165        0.131829        0.131906
  TTbar_AllHadronic                                   Bkg             0.624871        0.486132        0.214272        0.208343
  TTbar_SemiLeptonic                                  Bkg           182.072466      181.986592        3.028605        3.019751
  TTbar_Signal                                        Signal      13554.951504    13560.707899       22.661715       22.648043
  WJetsToLNu                                          Bkg             0.000000      -45.777195        0.000000       45.777195
  WW                                                  Bkg             5.086802        4.954229        0.807650        0.783040
  WZ                                                  Bkg             2.513504        1.617340        0.540706        0.394229
  ZZ                                                  Bkg             4.354035        4.955653        1.153023        1.249750

# ===== O6 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O6  13997.000000  14214.000000  2425.235802  0.505943  0.494057  105.125234  88.894763  0.018112  16812.151722  0.001313
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           113.815535      141.094022       68.409162       61.221055
  DYJetsToLL_M_50                                     Bkg           478.569559      369.326429       64.975074       64.021388
  Data                                                Data        13997.000000    14214.000000      118.308918      119.222481
  ST_s-channel_4f_leptonDecays                        Bkg             1.410749        0.758452        0.310905        0.251235
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             1.733876        2.241530        0.362448        0.376324
