# ===== O1 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O1  41174.000000  41119.000000  7104.753172  0.488100  0.511900  164.472920  167.563608  0.006663  137642.451518  -0.000352
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  ST_s-channel_4f_leptonDecays                        Bkg             1.183324        1.206678        0.318611        0.281306
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             3.682592        3.250719        0.462467        0.408193
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             4.018988        3.633953        0.454184        0.423698
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           699.735934      714.722427        8.234094        8.337189
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           700.849832      701.487449        8.268275        8.242665
  TTWJetsToLNu                                        Bkg            29.589990       30.171689        0.340240        0.339903
  TTWJetsToQQ                                         Bkg            24.431978       25.743035        1.428629        1.437130
  TTZToLLNuNu                                         Bkg            26.552275       26.856872        0.284844        0.286707
  TTZToQQ                                             Bkg            35.255037       35.052089        0.216936        0.216514
  TTbar_AllHadronic                                   Bkg             0.177407        0.126019        0.102488        0.089146
  TTbar_SemiLeptonic                                  Bkg           212.231662      211.975708        3.106868        3.097131
  TTbar_Signal                                        Signal      40869.622278    40796.845998       38.465168       38.427628
  WJetsToLNu                                          Bkg             0.000000       46.917687        0.000000       46.917687
  WW                                                  Bkg            15.282247       15.867776        2.419674        2.607456
  WZ                                                  Bkg             6.889838        5.423095        1.491060        1.291435
  ZZ                                                  Bkg            17.277682       17.104315        2.133985        2.135310

# ===== O5 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O5  41434.000000  40859.000000  7104.753172  0.498060  0.501940  163.695995  168.322682  0.006663  137642.451518  0.000247
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           378.758228      284.234047      124.582484      121.177839
  DYJetsToLL_M_50                                     Bkg          1376.072968     1448.989633      105.421129      106.231248
  Data                                                Data        41434.000000    40859.000000      203.553433      202.136093
  ST_s-channel_4f_leptonDecays                        Bkg             1.298574        1.091428        0.311624        0.289028
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             3.604482        3.328829        0.439679        0.432642
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             4.187713        3.465228        0.440003        0.438406
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           707.008308      707.450053        8.287699        8.283904
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           701.472256      700.865025        8.257239        8.253721
  TTWJetsToLNu                                        Bkg            29.625490       30.136189        0.340897        0.339244
  TTWJetsToQQ                                         Bkg            25.377378       24.797635        1.429691        1.436074
  TTZToLLNuNu                                         Bkg            26.857159       26.551988        0.286158        0.285395
  TTZToQQ                                             Bkg            35.379534       34.927592        0.217239        0.216210
  TTbar_AllHadronic                                   Bkg             0.000000        0.303427        0.000000        0.135834
  TTbar_SemiLeptonic                                  Bkg           209.995601      214.211769        3.080743        3.123119
  TTbar_Signal                                        Signal      40843.333166    40823.135110       38.451699       38.441106
  WJetsToLNu                                          Bkg             0.000000       46.917687        0.000000       46.917687
  WW                                                  Bkg            15.809179       15.340844        2.533388        2.497117
  WZ                                                  Bkg             6.165408        6.147525        1.379523        1.409957
  ZZ                                                  Bkg            16.981046       17.400951        2.125011        2.144241

# ===== O6 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O6  41319.000000  40974.000000  7104.753172  0.469164  0.530836  151.689705  179.218128  0.006663  137642.451518  0.000469
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           287.146018      375.846257      109.815985      134.704541
  DYJetsToLL_M_50                                     Bkg          1249.073176     1575.989425      103.858964      107.759029
  Data                                                Data        41319.000000    40974.000000      203.270755      202.420355
  ST_s-channel_4f_leptonDecays                        Bkg             0.866516        1.523487        0.309537        0.291262
  ST_t-channel_antitop_4f_InclusiveDecays             Bkg             3.821454        3.111857        0.469478        0.400109
  ST_t-channel_top_4f_InclusiveDecays                 Bkg             4.333344        3.319597        0.462525        0.414575
  ST_tW_antitop_5f_NoFullyHadronicDecays              Bkg           710.923044      703.535317        8.299459        8.272122
  ST_tW_top_5f_NoFullyHadronicDecays                  Bkg           707.457701      694.879579        8.300900        8.209809
  TTWJetsToLNu                                        Bkg            30.233415       29.528264        0.341108        0.339032
  TTWJetsToQQ                                         Bkg            23.738753       26.436259        1.433700        1.432072
  TTZToLLNuNu                                         Bkg            26.496091       26.913055        0.284776        0.286774
  TTZToQQ                                             Bkg            35.279745       35.027381        0.216951        0.216499
  TTbar_AllHadronic                                   Bkg             0.238596        0.064831        0.119364        0.064831
  TTbar_SemiLeptonic                                  Bkg           212.978204      211.229166        3.107960        3.096035
  TTbar_Signal                                        Signal      40852.383432    40814.084845       38.459370       38.433432
  WJetsToLNu                                          Bkg             0.000000       46.917687        0.000000       46.917687
  WW                                                  Bkg            14.376563       16.773460        2.398290        2.627138
  WZ                                                  Bkg             6.859841        5.453092        1.491435        1.291002
  ZZ                                                  Bkg            19.469741       14.912256        2.294694        1.961586

# ===== O7 =====
# obs  N_plus_obs  N_minus_obs  N_mc  f_mc_p  f_mc_m  N_mc_p_unc  N_mc_m_unc  sel_eff  luminosity  init_asym
O7  41278.000000  41015.000000  7104.753172  0.489526  0.510474  157.374921  174.247061  0.006663  137642.451518  0.000405
# --- per-sample breakdown ---
# sample  type  N_plus  N_minus  N_plus_err  N_minus_err
  DYJetsToLL_M_10To50                                 Bkg           255.636635      407.355639      115.151144      130.173261
  DYJetsToLL_M_50                                     Bkg          1439.189439     1385.873162      106.517807      105.131581
  Data                                                Data        41278.000000    41015.000000      203.169880      202.521604
  ST_s-channel_4f_leptonDecays                        Bkg             1.624274        0.765728        0.345352        0.247748
